h,r,t
1260,0,1740
1260,0,1727
1260,0,1726
1260,0,495
1260,0,1725
1262,0,1753
1262,0,1751
1262,0,1747
1262,0,1745
1262,0,1749
1262,0,1748
1262,0,1750
1262,0,1744
1262,0,1746
1262,0,1743
1262,0,1753
1262,0,1751
1262,0,1747
1262,0,1745
1262,0,1749
1262,0,1748
1262,0,1750
1262,0,1744
1262,0,1746
1262,0,1743
1262,0,1753
1262,0,1751
1262,0,1747
1262,0,1745
1262,0,1749
1262,0,1748
1262,0,1750
1262,0,1744
1262,0,1746
1262,0,1743
1262,0,1753
1262,0,1751
1262,0,1747
1262,0,1745
1262,0,1749
1262,0,1748
1262,0,1750
1262,0,1744
1262,0,1746
1262,0,1743
1263,0,85
1263,0,85
1263,0,85
1263,0,85
1265,0,1525
1265,0,1525
1265,0,1525
1265,0,1525
1266,0,85
1266,0,85
1266,0,85
1266,0,85
1269,0,1793
1269,0,1287
1269,0,1755
1269,0,1789
1269,0,1793
1269,0,1287
1269,0,1755
1269,0,1789
1269,0,1793
1269,0,1287
1269,0,1755
1269,0,1789
1269,0,1793
1269,0,1287
1269,0,1755
1269,0,1789
1272,0,1793
1272,0,1287
1272,0,1389
1272,0,1800
1272,0,1755
1272,0,1793
1272,0,1287
1272,0,1389
1272,0,1800
1272,0,1755
1272,0,1793
1272,0,1287
1272,0,1389
1272,0,1800
1272,0,1755
1272,0,1793
1272,0,1287
1272,0,1389
1272,0,1800
1272,0,1755
1275,0,666
1275,0,666
1284,0,1740
1284,0,1726
1284,0,1725
1284,0,470
1284,0,1740
1284,0,1726
1284,0,1725
1284,0,470
1284,0,1740
1284,0,1726
1284,0,1725
1284,0,470
1285,0,1867
1285,0,1867
1285,0,1867
1285,0,1867
1287,0,887
1287,0,887
1287,0,887
1287,0,887
1286,0,1866
1286,0,1866
1286,0,1866
1286,0,1866
1294,0,1378
1294,0,1378
1294,0,1378
1294,0,1378
1297,0,19
1297,0,19
1297,0,19
1297,0,19
1299,0,19
1299,0,19
1299,0,19
1299,0,19
1301,0,33
1301,0,33
1301,0,33
1301,0,33
1302,0,37
1302,0,1199
1302,0,37
1302,0,1199
1302,0,37
1302,0,1199
1302,0,37
1302,0,1199
1302,0,37
1302,0,1199
1306,0,542
1306,0,542
1306,0,542
1306,0,542
1306,0,542
1310,0,66
1310,0,65
1310,0,66
1310,0,65
1310,0,66
1310,0,65
1310,0,66
1310,0,65
1311,0,77
1311,0,76
1311,0,77
1311,0,76
1311,0,77
1311,0,76
1311,0,77
1311,0,76
1321,0,83
1321,0,83
1321,0,83
1321,0,83
1324,0,121
1324,0,121
1324,0,121
1324,0,121
1324,0,121
1331,0,140
1331,0,140
1331,0,140
1331,0,140
1333,0,142
1333,0,142
1333,0,142
1333,0,142
1334,0,1652
1334,0,1652
1334,0,1652
1334,0,1652
1341,0,121
1341,0,121
1341,0,121
1341,0,121
1345,0,32
1345,0,32
1345,0,32
1345,0,32
1346,0,145
1346,0,145
1346,0,145
1346,0,145
1347,0,148
1347,0,1877
1347,0,148
1347,0,1877
1347,0,148
1347,0,1877
1347,0,148
1347,0,1877
1348,0,149
1348,0,334
1348,0,149
1348,0,334
1348,0,149
1348,0,334
1350,0,1473
1350,0,1473
1350,0,1473
1350,0,1473
1351,0,1643
1351,0,1643
1351,0,1643
1351,0,1643
1351,0,1643
1352,0,522
1352,0,522
1352,0,522
1352,0,522
1354,0,154
1354,0,152
1354,0,151
1354,0,154
1354,0,152
1354,0,151
1354,0,154
1354,0,152
1354,0,151
1354,0,154
1354,0,152
1354,0,151
1355,0,154
1355,0,152
1355,0,151
1355,0,154
1355,0,152
1355,0,151
1355,0,154
1355,0,152
1355,0,151
1355,0,154
1355,0,152
1355,0,151
1356,0,155
1356,0,156
1356,0,155
1356,0,156
1356,0,155
1356,0,156
1356,0,155
1356,0,156
1360,0,1237
1360,0,1237
1360,0,1237
1360,0,1237
1361,0,173
1361,0,171
1361,0,170
1361,0,169
1361,0,168
1361,0,167
1361,0,173
1361,0,171
1361,0,170
1361,0,169
1361,0,168
1361,0,167
1364,0,175
1364,0,175
1364,0,175
1364,0,175
1366,0,177
1366,0,177
1366,0,177
1366,0,177
1368,0,182
1368,0,183
1368,0,181
1368,0,179
1368,0,178
1368,0,182
1368,0,183
1368,0,181
1368,0,179
1368,0,178
1368,0,182
1368,0,183
1368,0,181
1368,0,179
1368,0,178
1368,0,182
1368,0,183
1368,0,181
1368,0,179
1368,0,178
1371,0,187
1371,0,187
1371,0,187
1371,0,187
1372,0,155
1372,0,156
1372,0,155
1372,0,156
1372,0,155
1372,0,156
1372,0,155
1372,0,156
1373,0,189
1373,0,189
1373,0,189
1373,0,189
1375,0,187
1375,0,187
1375,0,187
1375,0,187
1376,0,1591
1376,0,1591
1376,0,1591
1376,0,1591
1381,0,148
1381,0,1877
1381,0,148
1381,0,1877
1381,0,148
1381,0,1877
1381,0,148
1381,0,1877
1380,0,196
1380,0,1588
1380,0,196
1380,0,1588
1380,0,196
1380,0,1588
1380,0,196
1380,0,1588
1386,0,89
1386,0,89
1386,0,89
1386,0,89
1387,0,215
1387,0,215
1387,0,215
1387,0,215
1389,0,217
1389,0,217
1389,0,217
1389,0,217
1394,0,221
1394,0,221
1394,0,221
1394,0,221
1396,0,225
1396,0,225
1396,0,225
1396,0,225
1396,0,225
1400,0,228
1400,0,228
1401,0,231
1401,0,230
1401,0,229
1401,0,66
1401,0,65
1401,0,231
1401,0,230
1401,0,229
1401,0,66
1401,0,65
1401,0,231
1401,0,230
1401,0,229
1401,0,66
1401,0,65
1401,0,231
1401,0,230
1401,0,229
1401,0,66
1401,0,65
1402,0,239
1402,0,238
1402,0,237
1402,0,236
1402,0,235
1402,0,234
1402,0,233
1402,0,232
1402,0,239
1402,0,238
1402,0,237
1402,0,236
1402,0,235
1402,0,234
1402,0,233
1402,0,232
1402,0,239
1402,0,238
1402,0,237
1402,0,236
1402,0,235
1402,0,234
1402,0,233
1402,0,232
1402,0,239
1402,0,238
1402,0,237
1402,0,236
1402,0,235
1402,0,234
1402,0,233
1402,0,232
1403,0,240
1403,0,240
1403,0,240
1403,0,240
1406,0,246
1406,0,247
1406,0,246
1406,0,247
1406,0,246
1406,0,247
1406,0,246
1406,0,247
1408,0,496
1408,0,496
1408,0,496
1408,0,496
1413,0,47
1413,0,47
1413,0,47
1413,0,47
1415,0,254
1415,0,254
1419,0,1385
1419,0,257
1419,0,1385
1419,0,257
1419,0,1385
1419,0,257
1419,0,1385
1419,0,257
1420,0,265
1420,0,264
1420,0,262
1420,0,261
1420,0,1387
1420,0,260
1420,0,259
1420,0,258
1420,0,265
1420,0,264
1420,0,262
1420,0,261
1420,0,1387
1420,0,260
1420,0,259
1420,0,258
1420,0,265
1420,0,264
1420,0,262
1420,0,261
1420,0,1387
1420,0,260
1420,0,259
1420,0,258
1420,0,265
1420,0,264
1420,0,262
1420,0,261
1420,0,1387
1420,0,260
1420,0,259
1420,0,258
1420,0,265
1420,0,264
1420,0,262
1420,0,261
1420,0,1387
1420,0,260
1420,0,259
1420,0,258
1423,0,8
1423,0,8
1423,0,8
1423,0,8
1425,0,270
1425,0,270
1425,0,270
1425,0,270
1427,0,1237
1427,0,1237
1427,0,1237
1427,0,1237
1428,0,1271
1428,0,1271
1428,0,1271
1428,0,1271
1431,0,279
1431,0,279
1431,0,279
1431,0,279
1433,0,280
1433,0,280
1433,0,280
1433,0,280
1433,0,280
1438,0,284
1438,0,284
1438,0,284
1438,0,284
1439,0,1603
1439,0,1603
1439,0,1603
1439,0,1603
1443,0,301
1443,0,295
1443,0,301
1443,0,295
1443,0,301
1443,0,295
1443,0,301
1443,0,295
1449,0,33
1449,0,33
1449,0,33
1449,0,33
1450,0,310
1450,0,310
1450,0,310
1450,0,310
1453,0,312
1453,0,311
1453,0,312
1453,0,311
1453,0,312
1453,0,311
1453,0,312
1453,0,311
1454,0,313
1454,0,313
1454,0,313
1454,0,313
1456,0,315
1456,0,315
1456,0,315
1456,0,315
1457,0,1199
1457,0,1199
1457,0,1199
1458,0,324
1458,0,323
1458,0,324
1458,0,323
1458,0,324
1458,0,323
1458,0,324
1458,0,323
1460,0,329
1460,0,328
1460,0,327
1460,0,325
1460,0,329
1460,0,328
1460,0,327
1460,0,325
1460,0,329
1460,0,328
1460,0,327
1460,0,325
1460,0,329
1460,0,328
1460,0,327
1460,0,325
1468,0,355
1468,0,354
1468,0,353
1468,0,352
1468,0,351
1468,0,350
1468,0,349
1468,0,348
1468,0,355
1468,0,354
1468,0,353
1468,0,352
1468,0,351
1468,0,350
1468,0,349
1468,0,348
1468,0,355
1468,0,354
1468,0,353
1468,0,352
1468,0,351
1468,0,350
1468,0,349
1468,0,348
1468,0,355
1468,0,354
1468,0,353
1468,0,352
1468,0,351
1468,0,350
1468,0,349
1468,0,348
1471,0,365
1471,0,365
1471,0,365
1471,0,365
1473,0,368
1473,0,367
1473,0,366
1473,0,368
1473,0,367
1473,0,366
1473,0,368
1473,0,367
1473,0,366
1473,0,368
1473,0,367
1473,0,366
1479,0,370
1479,0,370
1479,0,370
1479,0,370
1480,0,372
1480,0,372
1480,0,372
1480,0,372
1484,0,414
1484,0,413
1484,0,412
1484,0,410
1484,0,409
1484,0,408
1484,0,407
1484,0,406
1484,0,395
1484,0,404
1484,0,403
1484,0,402
1484,0,401
1484,0,399
1484,0,398
1484,0,397
1484,0,396
1484,0,405
1484,0,433
1484,0,431
1484,0,430
1484,0,429
1484,0,428
1484,0,427
1484,0,426
1484,0,425
1484,0,1488
1484,0,423
1484,0,422
1484,0,1499
1484,0,420
1484,0,419
1484,0,418
1484,0,417
1484,0,416
1484,0,424
1484,0,414
1484,0,413
1484,0,412
1484,0,410
1484,0,409
1484,0,408
1484,0,407
1484,0,406
1484,0,395
1484,0,404
1484,0,403
1484,0,402
1484,0,401
1484,0,399
1484,0,398
1484,0,397
1484,0,396
1484,0,405
1484,0,433
1484,0,431
1484,0,430
1484,0,429
1484,0,428
1484,0,427
1484,0,426
1484,0,425
1484,0,1488
1484,0,423
1484,0,422
1484,0,1499
1484,0,420
1484,0,419
1484,0,418
1484,0,417
1484,0,416
1484,0,424
1484,0,414
1484,0,413
1484,0,412
1484,0,410
1484,0,409
1484,0,408
1484,0,407
1484,0,406
1484,0,395
1484,0,404
1484,0,403
1484,0,402
1484,0,401
1484,0,399
1484,0,398
1484,0,397
1484,0,396
1484,0,405
1484,0,433
1484,0,431
1484,0,430
1484,0,429
1484,0,428
1484,0,427
1484,0,426
1484,0,425
1484,0,1488
1484,0,423
1484,0,422
1484,0,1499
1484,0,420
1484,0,419
1484,0,418
1484,0,417
1484,0,416
1484,0,424
1484,0,414
1484,0,413
1484,0,412
1484,0,410
1484,0,409
1484,0,408
1484,0,407
1484,0,406
1484,0,395
1484,0,404
1484,0,403
1484,0,402
1484,0,401
1484,0,399
1484,0,398
1484,0,397
1484,0,396
1484,0,405
1484,0,433
1484,0,431
1484,0,430
1484,0,429
1484,0,428
1484,0,427
1484,0,426
1484,0,425
1484,0,1488
1484,0,423
1484,0,422
1484,0,1499
1484,0,420
1484,0,419
1484,0,418
1484,0,417
1484,0,416
1484,0,424
1484,0,414
1484,0,413
1484,0,412
1484,0,410
1484,0,409
1484,0,408
1484,0,407
1484,0,406
1484,0,395
1484,0,404
1484,0,403
1484,0,402
1484,0,401
1484,0,399
1484,0,398
1484,0,397
1484,0,396
1484,0,405
1484,0,433
1484,0,431
1484,0,430
1484,0,429
1484,0,428
1484,0,427
1484,0,426
1484,0,425
1484,0,1488
1484,0,423
1484,0,422
1484,0,1499
1484,0,420
1484,0,419
1484,0,418
1484,0,417
1484,0,416
1484,0,424
1484,0,414
1484,0,413
1484,0,412
1484,0,410
1484,0,409
1484,0,408
1484,0,407
1484,0,406
1484,0,395
1484,0,404
1484,0,403
1484,0,402
1484,0,401
1484,0,399
1484,0,398
1484,0,397
1484,0,396
1484,0,405
1484,0,433
1484,0,431
1484,0,430
1484,0,429
1484,0,428
1484,0,427
1484,0,426
1484,0,425
1484,0,1488
1484,0,423
1484,0,422
1484,0,1499
1484,0,420
1484,0,419
1484,0,418
1484,0,417
1484,0,416
1484,0,424
1489,0,34
1489,0,34
1489,0,34
1489,0,34
1490,0,434
1490,0,434
1490,0,434
1490,0,434
1491,0,437
1491,0,437
1491,0,437
1491,0,437
1492,0,34
1492,0,34
1492,0,34
1492,0,34
1494,0,438
1494,0,441
1494,0,440
1494,0,439
1494,0,438
1494,0,441
1494,0,440
1494,0,439
1494,0,438
1494,0,441
1494,0,440
1494,0,439
1494,0,438
1494,0,441
1494,0,440
1494,0,439
1494,0,438
1494,0,441
1494,0,440
1494,0,439
1494,0,438
1494,0,441
1494,0,440
1494,0,439
1496,0,446
1496,0,446
1496,0,446
1496,0,446
1496,0,446
1497,0,448
1497,0,448
1497,0,448
1497,0,448
1501,0,459
1501,0,458
1501,0,459
1501,0,458
1501,0,459
1501,0,458
1501,0,459
1501,0,458
1508,0,468
1508,0,467
1508,0,466
1508,0,465
1508,0,464
1508,0,468
1508,0,467
1508,0,466
1508,0,465
1508,0,464
1508,0,468
1508,0,467
1508,0,466
1508,0,465
1508,0,464
1508,0,468
1508,0,467
1508,0,466
1508,0,465
1508,0,464
1511,0,1197
1519,0,1153
1519,0,1153
1519,0,1153
1519,0,1153
1527,0,487
1527,0,487
1527,0,487
1527,0,487
1528,0,487
1528,0,487
1528,0,487
1528,0,487
1530,0,489
1530,0,489
1530,0,489
1530,0,489
1531,0,489
1531,0,489
1531,0,489
1531,0,489
1553,0,500
1553,0,499
1553,0,498
1553,0,500
1553,0,499
1553,0,498
1553,0,500
1553,0,499
1553,0,498
1553,0,500
1553,0,499
1553,0,498
1556,0,506
1556,0,505
1556,0,504
1556,0,506
1556,0,505
1556,0,504
1556,0,506
1556,0,505
1556,0,504
1556,0,506
1556,0,505
1556,0,504
1558,0,510
1558,0,512
1558,0,511
1558,0,514
1558,0,509
1558,0,508
1558,0,510
1558,0,512
1558,0,511
1558,0,514
1558,0,509
1558,0,508
1558,0,510
1558,0,512
1558,0,511
1558,0,514
1558,0,509
1558,0,508
1558,0,510
1558,0,512
1558,0,511
1558,0,514
1558,0,509
1558,0,508
1559,0,520
1559,0,520
1559,0,520
1559,0,520
1565,0,523
1565,0,523
1565,0,523
1565,0,523
1582,0,533
1582,0,532
1582,0,531
1582,0,529
1582,0,533
1582,0,532
1582,0,531
1582,0,529
1582,0,533
1582,0,532
1582,0,531
1582,0,529
1582,0,533
1582,0,532
1582,0,531
1582,0,529
1583,0,531
1583,0,533
1583,0,1245
1583,0,531
1583,0,533
1583,0,1245
1583,0,531
1583,0,533
1583,0,1245
1583,0,531
1583,0,533
1583,0,1245
1584,0,534
1584,0,534
1584,0,534
1584,0,534
1589,0,538
1589,0,538
1589,0,538
1594,0,549
1594,0,546
1594,0,551
1594,0,550
1594,0,552
1594,0,547
1594,0,549
1594,0,546
1594,0,551
1594,0,550
1594,0,552
1594,0,547
1594,0,549
1594,0,546
1594,0,551
1594,0,550
1594,0,552
1594,0,547
1594,0,549
1594,0,546
1594,0,551
1594,0,550
1594,0,552
1594,0,547
1604,0,555
1604,0,555
1604,0,555
1604,0,555
1612,0,566
1612,0,566
1612,0,566
1612,0,566
1614,0,557
1614,0,557
1614,0,557
1614,0,557
1616,0,566
1616,0,566
1616,0,566
1616,0,566
1619,0,557
1619,0,1867
1619,0,569
1619,0,568
1619,0,557
1619,0,1867
1619,0,569
1619,0,568
1619,0,557
1619,0,1867
1619,0,569
1619,0,568
1619,0,557
1619,0,1867
1619,0,569
1619,0,568
1620,0,581
1620,0,581
1620,0,581
1620,0,581
1621,0,1723
1621,0,1468
1621,0,266
1621,0,582
1621,0,1466
1621,0,1723
1621,0,1468
1621,0,266
1621,0,582
1621,0,1466
1621,0,1723
1621,0,1468
1621,0,266
1621,0,582
1621,0,1466
1621,0,1723
1621,0,1468
1621,0,266
1621,0,582
1621,0,1466
1626,0,500
1626,0,498
1626,0,499
1626,0,500
1626,0,498
1626,0,499
1626,0,500
1626,0,498
1626,0,499
1626,0,500
1626,0,498
1626,0,499
1631,0,370
1631,0,370
1631,0,370
1631,0,370
1632,0,584
1632,0,583
1632,0,584
1632,0,583
1632,0,584
1632,0,583
1632,0,584
1632,0,583
1632,0,584
1632,0,583
1638,0,599
1638,0,598
1638,0,597
1638,0,595
1638,0,599
1638,0,598
1638,0,597
1638,0,595
1638,0,599
1638,0,598
1638,0,597
1638,0,595
1638,0,599
1638,0,598
1638,0,597
1638,0,595
1640,0,499
1640,0,498
1640,0,499
1640,0,498
1640,0,499
1640,0,498
1640,0,499
1640,0,498
1643,0,607
1643,0,607
1643,0,607
1643,0,607
1649,0,607
1649,0,607
1649,0,607
1649,0,607
1650,0,585
1650,0,1696
1650,0,585
1650,0,1696
1650,0,585
1650,0,1696
1650,0,585
1650,0,1696
1657,0,607
1657,0,607
1659,0,568
1659,0,568
1659,0,568
1659,0,568
1661,0,622
1661,0,622
1661,0,622
1661,0,622
1661,0,622
1663,0,607
1663,0,607
1663,0,607
1663,0,607
1674,0,593
1674,0,592
1674,0,591
1674,0,590
1674,0,593
1674,0,592
1674,0,591
1674,0,590
1674,0,593
1674,0,592
1674,0,591
1674,0,590
1674,0,593
1674,0,592
1674,0,591
1674,0,590
1675,0,552
1678,0,762
1678,0,761
1678,0,760
1678,0,1239
1678,0,759
1678,0,762
1678,0,761
1678,0,760
1678,0,1239
1678,0,759
1678,0,762
1678,0,761
1678,0,760
1678,0,1239
