h,r,t
1228,0,13815
1228,0,13815
1228,0,13815
1229,0,14669
1229,0,14669
1229,0,14669
1229,0,14669
1244,0,15358
1244,0,15358
1244,0,15358
1244,0,15358
1252,0,14392
1252,0,16259
1252,0,14081
1252,0,14392
1252,0,16259
1252,0,14081
1252,0,14392
1252,0,16259
1252,0,14081
1252,0,14392
1252,0,16259
1252,0,14081
1254,0,12692
1254,0,12692
1254,0,12692
1254,0,12692
1259,0,17330
1259,0,17319
1259,0,17308
1259,0,17297
1259,0,17330
1259,0,17319
1259,0,17308
1259,0,17297
1259,0,17330
1259,0,17319
1259,0,17308
1259,0,17297
1259,0,17330
1259,0,17319
1259,0,17308
1259,0,17297
1260,0,15148
1260,0,15148
1260,0,15148
1260,0,15148
1260,0,15148
1261,0,17408
1261,0,17386
1261,0,17364
1261,0,11493
1261,0,17352
1261,0,17408
1261,0,17386
1261,0,17364
1261,0,11493
1261,0,17352
1263,0,17586
1263,0,17574
1263,0,17530
1263,0,17508
1263,0,17552
1263,0,17541
1263,0,17563
1263,0,17497
1263,0,17519
1263,0,17486
1263,0,17586
1263,0,17574
1263,0,17530
1263,0,17508
1263,0,17552
1263,0,17541
1263,0,17563
1263,0,17497
1263,0,17519
1263,0,17486
1263,0,17586
1263,0,17574
1263,0,17530
1263,0,17508
1263,0,17552
1263,0,17541
1263,0,17563
1263,0,17497
1263,0,17519
1263,0,17486
1263,0,17586
1263,0,17574
1263,0,17530
1263,0,17508
1263,0,17552
1263,0,17541
1263,0,17563
1263,0,17497
1263,0,17519
1263,0,17486
1264,0,4769
1264,0,4769
1264,0,4769
1264,0,4769
1266,0,15358
1266,0,15358
1266,0,15358
1266,0,15358
1267,0,4769
1267,0,4769
1267,0,4769
1267,0,4769
1270,0,17985
1270,0,13925
1270,0,17641
1270,0,17974
1270,0,17985
1270,0,13925
1270,0,17641
1270,0,17974
1270,0,17985
1270,0,13925
1270,0,17641
1270,0,17974
1270,0,17985
1270,0,13925
1270,0,17641
1270,0,17974
1273,0,17985
1273,0,13925
1273,0,14481
1273,0,18086
1273,0,17641
1273,0,17985
1273,0,13925
1273,0,14481
1273,0,18086
1273,0,17641
1273,0,17985
1273,0,13925
1273,0,14481
1273,0,18086
1273,0,17641
1273,0,17985
1273,0,13925
1273,0,14481
1273,0,18086
1273,0,17641
1276,0,12181
1276,0,12181
1285,0,17408
1285,0,17364
1285,0,17352
1285,0,11347
1285,0,17408
1285,0,17364
1285,0,17352
1285,0,11347
1285,0,17408
1285,0,17364
1285,0,17352
1285,0,11347
1286,0,19669
1286,0,19669
1286,0,19669
1286,0,19669
1288,0,12480
1288,0,12480
1288,0,12480
1288,0,12480
1287,0,19603
1287,0,19603
1287,0,19603
1287,0,19603
1295,0,14436
1295,0,14436
1295,0,14436
1295,0,14436
1298,0,3629
1298,0,3629
1298,0,3629
1298,0,3629
1300,0,3629
1300,0,3629
1300,0,3629
1300,0,3629
1302,0,3829
1302,0,3829
1302,0,3829
1302,0,3829
1303,0,3896
1303,0,13436
1303,0,3896
1303,0,13436
1303,0,3896
1303,0,13436
1303,0,3896
1303,0,13436
1303,0,3896
1303,0,13436
1307,0,11703
1307,0,11703
1307,0,11703
1307,0,11703
1307,0,11703
1311,0,4295
1311,0,4262
1311,0,4295
1311,0,4262
1311,0,4295
1311,0,4262
1311,0,4295
1311,0,4262
1312,0,4446
1312,0,4444
1312,0,4446
1312,0,4444
1312,0,4446
1312,0,4444
1312,0,4446
1312,0,4444
1322,0,4725
1322,0,4725
1322,0,4725
1322,0,4725
1325,0,5425
1325,0,5425
1325,0,5425
1325,0,5425
1325,0,5425
1332,0,5736
1332,0,5736
1332,0,5736
1332,0,5736
1334,0,5770
1334,0,5770
1334,0,5770
1334,0,5770
1335,0,16347
1335,0,16347
1335,0,16347
1335,0,16347
1342,0,5425
1342,0,5425
1342,0,5425
1342,0,5425
1346,0,3818
1346,0,3818
1346,0,3818
1346,0,3818
1347,0,6091
1347,0,6091
1347,0,6091
1347,0,6091
1348,0,6258
1348,0,20190
1348,0,6258
1348,0,20190
1348,0,6258
1348,0,20190
1348,0,6258
1348,0,20190
1349,0,6280
1349,0,11059
1349,0,6280
1349,0,11059
1349,0,6280
1349,0,11059
1351,0,15041
1351,0,15041
1351,0,15041
1351,0,15041
1352,0,16259
1352,0,16259
1352,0,16259
1352,0,16259
1352,0,16259
1353,0,11570
1353,0,11570
1353,0,11570
1353,0,11570
1355,0,6413
1355,0,6402
1355,0,6391
1355,0,6413
1355,0,6402
1355,0,6391
1355,0,6413
1355,0,6402
1355,0,6391
1355,0,6413
1355,0,6402
1355,0,6391
1356,0,6413
1356,0,6402
1356,0,6391
1356,0,6413
1356,0,6402
1356,0,6391
1356,0,6413
1356,0,6402
1356,0,6391
1356,0,6413
1356,0,6402
1356,0,6391
1357,0,6437
1357,0,6448
1357,0,6437
1357,0,6448
1357,0,6437
1357,0,6448
1357,0,6437
1357,0,6448
1361,0,13615
1361,0,13615
1361,0,13615
1361,0,13615
1362,0,6692
1362,0,6670
1362,0,6659
1362,0,6647
1362,0,6636
1362,0,6625
1362,0,6692
1362,0,6670
1362,0,6659
1362,0,6647
1362,0,6636
1362,0,6625
1365,0,6781
1365,0,6781
1365,0,6781
1365,0,6781
1367,0,6958
1367,0,6958
1367,0,6958
1367,0,6958
1369,0,7003
1369,0,7014
1369,0,6992
1369,0,6980
1369,0,6969
1369,0,7003
1369,0,7014
1369,0,6992
1369,0,6980
1369,0,6969
1369,0,7003
1369,0,7014
1369,0,6992
1369,0,6980
1369,0,6969
1369,0,7003
1369,0,7014
1369,0,6992
1369,0,6980
1369,0,6969
1372,0,7202
1372,0,7202
1372,0,7202
1372,0,7202
1373,0,6437
1373,0,6448
1373,0,6437
1373,0,6448
1373,0,6437
1373,0,6448
1373,0,6437
1373,0,6448
1374,0,7247
1374,0,7247
1374,0,7247
1374,0,7247
1376,0,7202
1376,0,7202
1376,0,7202
1376,0,7202
1377,0,15813
1377,0,15813
1377,0,15813
1377,0,15813
1382,0,6258
1382,0,20190
1382,0,6258
1382,0,20190
1382,0,6258
1382,0,20190
1382,0,6258
1382,0,20190
1381,0,7513
1381,0,15796
1381,0,7513
1381,0,15796
1381,0,7513
1381,0,15796
1381,0,7513
1381,0,15796
1387,0,4869
1387,0,4869
1387,0,4869
1387,0,4869
1388,0,7836
1388,0,7836
1388,0,7836
1388,0,7836
1390,0,7947
1390,0,7947
1390,0,7947
1390,0,7947
1395,0,8202
1395,0,8202
1395,0,8202
1395,0,8202
1397,0,8324
1397,0,8324
1397,0,8324
1397,0,8324
1397,0,8324
1401,0,8479
1401,0,8479
1402,0,8512
1402,0,8501
1402,0,8490
1402,0,4295
1402,0,4262
1402,0,8512
1402,0,8501
1402,0,8490
1402,0,4295
1402,0,4262
1402,0,8512
1402,0,8501
1402,0,8490
1402,0,4295
1402,0,4262
1402,0,8512
1402,0,8501
1402,0,8490
1402,0,4295
1402,0,4262
1403,0,8601
1403,0,8590
1403,0,8579
1403,0,8568
1403,0,8557
1403,0,8546
1403,0,8534
1403,0,8523
1403,0,8601
1403,0,8590
1403,0,8579
1403,0,8568
1403,0,8557
1403,0,8546
1403,0,8534
1403,0,8523
1403,0,8601
1403,0,8590
1403,0,8579
1403,0,8568
1403,0,8557
1403,0,8546
1403,0,8534
1403,0,8523
1403,0,8601
1403,0,8590
1403,0,8579
1403,0,8568
1403,0,8557
1403,0,8546
1403,0,8534
1403,0,8523
1404,0,8612
1404,0,8612
1404,0,8612
1404,0,8612
1407,0,8780
1407,0,8791
1407,0,8780
1407,0,8791
1407,0,8780
1407,0,8791
1407,0,8780
1407,0,8791
1409,0,11504
1409,0,11504
1409,0,11504
1409,0,11504
1414,0,3952
1414,0,3952
1414,0,3952
1414,0,3952
1416,0,9002
1416,0,9002
1420,0,14458
1420,0,9124
1420,0,14458
1420,0,9124
1420,0,14458
1420,0,9124
1420,0,14458
1420,0,9124
1421,0,9224
1421,0,9213
1421,0,9201
1421,0,9190
1421,0,14469
1421,0,9179
1421,0,9168
1421,0,9157
1421,0,9224
1421,0,9213
1421,0,9201
1421,0,9190
1421,0,14469
1421,0,9179
1421,0,9168
1421,0,9157
1421,0,9224
1421,0,9213
1421,0,9201
1421,0,9190
1421,0,14469
1421,0,9179
1421,0,9168
1421,0,9157
1421,0,9224
1421,0,9213
1421,0,9201
1421,0,9190
1421,0,14469
1421,0,9179
1421,0,9168
1421,0,9157
1421,0,9224
1421,0,9213
1421,0,9201
1421,0,9190
1421,0,14469
1421,0,9179
1421,0,9168
1421,0,9157
1424,0,3374
1424,0,3374
1424,0,3374
1424,0,3374
1426,0,9457
1426,0,9457
1426,0,9457
1426,0,9457
1428,0,13615
1428,0,13615
1428,0,13615
1428,0,13615
1429,0,13870
1429,0,13870
1429,0,13870
1429,0,13870
1432,0,9590
1432,0,9590
1432,0,9590
1432,0,9590
1434,0,9634
1434,0,9634
1434,0,9634
1434,0,9634
1434,0,9634
1439,0,9880
1439,0,9880
1439,0,9880
1439,0,9880
1440,0,15981
1440,0,15981
1440,0,15981
1440,0,15981
1444,0,10179
1444,0,10135
1444,0,10179
1444,0,10135
1444,0,10179
1444,0,10135
1444,0,10179
1444,0,10135
1450,0,3829
1450,0,3829
1450,0,3829
1450,0,3829
1451,0,10446
1451,0,10446
1451,0,10446
1451,0,10446
1454,0,10512
1454,0,10501
1454,0,10512
1454,0,10501
1454,0,10512
1454,0,10501
1454,0,10512
1454,0,10501
1455,0,10523
1455,0,10523
1455,0,10523
1455,0,10523
1457,0,10645
1457,0,10645
1457,0,10645
1457,0,10645
1458,0,13436
1458,0,13436
1458,0,13436
1459,0,10823
1459,0,10801
1459,0,10823
1459,0,10801
1459,0,10823
1459,0,10801
1459,0,10823
1459,0,10801
1461,0,10902
1461,0,10891
1461,0,10880
1461,0,10867
1461,0,10902
1461,0,10891
1461,0,10880
1461,0,10867
1461,0,10902
1461,0,10891
1461,0,10880
1461,0,10867
1461,0,10902
1461,0,10891
1461,0,10880
1461,0,10867
1469,0,11090
1469,0,11089
1469,0,11088
1469,0,11087
1469,0,11086
1469,0,11085
1469,0,11084
1469,0,11083
1469,0,11090
1469,0,11089
1469,0,11088
1469,0,11087
1469,0,11086
1469,0,11085
1469,0,11084
1469,0,11083
1469,0,11090
1469,0,11089
1469,0,11088
1469,0,11087
1469,0,11086
1469,0,11085
1469,0,11084
1469,0,11083
1469,0,11090
1469,0,11089
1469,0,11088
1469,0,11087
1469,0,11086
1469,0,11085
1469,0,11084
1469,0,11083
1472,0,11108
1472,0,11108
1472,0,11108
1472,0,11108
1474,0,11115
1474,0,11111
1474,0,11110
1474,0,11115
1474,0,11111
1474,0,11110
1474,0,11115
1474,0,11111
1474,0,11110
1474,0,11115
1474,0,11111
1474,0,11110
1480,0,11144
1480,0,11144
1480,0,11144
1480,0,11144
1481,0,11163
1481,0,11163
1481,0,11163
1481,0,11163
1485,0,11228
1485,0,11227
1485,0,11226
1485,0,11224
1485,0,11223
1485,0,11222
1485,0,11221
1485,0,11220
1485,0,11209
1485,0,11218
1485,0,11217
1485,0,11216
1485,0,11215
1485,0,11213
1485,0,11212
1485,0,11211
1485,0,11210
1485,0,11219
1485,0,11248
1485,0,11246
1485,0,11245
1485,0,11244
1485,0,11243
1485,0,11242
1485,0,11241
1485,0,11240
1485,0,15140
1485,0,11238
1485,0,11237
1485,0,15164
1485,0,11234
1485,0,11233
1485,0,11232
1485,0,11231
1485,0,11230
1485,0,11239
1485,0,11228
1485,0,11227
1485,0,11226
1485,0,11224
1485,0,11223
1485,0,11222
1485,0,11221
1485,0,11220
1485,0,11209
1485,0,11218
1485,0,11217
1485,0,11216
1485,0,11215
1485,0,11213
1485,0,11212
1485,0,11211
1485,0,11210
1485,0,11219
1485,0,11248
1485,0,11246
1485,0,11245
1485,0,11244
1485,0,11243
1485,0,11242
1485,0,11241
1485,0,11240
1485,0,15140
1485,0,11238
1485,0,11237
1485,0,15164
1485,0,11234
1485,0,11233
1485,0,11232
1485,0,11231
1485,0,11230
1485,0,11239
1485,0,11228
1485,0,11227
1485,0,11226
1485,0,11224
1485,0,11223
1485,0,11222
1485,0,11221
1485,0,11220
1485,0,11209
1485,0,11218
1485,0,11217
1485,0,11216
1485,0,11215
1485,0,11213
1485,0,11212
1485,0,11211
1485,0,11210
1485,0,11219
1485,0,11248
1485,0,11246
1485,0,11245
1485,0,11244
1485,0,11243
1485,0,11242
1485,0,11241
1485,0,11240
1485,0,15140
1485,0,11238
1485,0,11237
1485,0,15164
1485,0,11234
1485,0,11233
1485,0,11232
1485,0,11231
1485,0,11230
1485,0,11239
1485,0,11228
1485,0,11227
1485,0,11226
1485,0,11224
1485,0,11223
1485,0,11222
1485,0,11221
1485,0,11220
1485,0,11209
1485,0,11218
1485,0,11217
1485,0,11216
1485,0,11215
1485,0,11213
1485,0,11212
1485,0,11211
1485,0,11210
1485,0,11219
1485,0,11248
1485,0,11246
1485,0,11245
1485,0,11244
1485,0,11243
1485,0,11242
1485,0,11241
1485,0,11240
1485,0,15140
1485,0,11238
1485,0,11237
1485,0,15164
1485,0,11234
1485,0,11233
1485,0,11232
1485,0,11231
1485,0,11230
1485,0,11239
1485,0,11228
1485,0,11227
1485,0,11226
1485,0,11224
1485,0,11223
1485,0,11222
1485,0,11221
1485,0,11220
1485,0,11209
1485,0,11218
1485,0,11217
1485,0,11216
1485,0,11215
1485,0,11213
1485,0,11212
1485,0,11211
1485,0,11210
1485,0,11219
1485,0,11248
1485,0,11246
1485,0,11245
1485,0,11244
1485,0,11243
1485,0,11242
1485,0,11241
1485,0,11240
1485,0,15140
1485,0,11238
1485,0,11237
1485,0,15164
1485,0,11234
1485,0,11233
1485,0,11232
1485,0,11231
1485,0,11230
1485,0,11239
1485,0,11228
1485,0,11227
1485,0,11226
1485,0,11224
1485,0,11223
1485,0,11222
1485,0,11221
1485,0,11220
1485,0,11209
1485,0,11218
1485,0,11217
1485,0,11216
1485,0,11215
1485,0,11213
1485,0,11212
1485,0,11211
1485,0,11210
1485,0,11219
1485,0,11248
1485,0,11246
1485,0,11245
1485,0,11244
1485,0,11243
1485,0,11242
1485,0,11241
1485,0,11240
1485,0,15140
1485,0,11238
1485,0,11237
1485,0,15164
1485,0,11234
1485,0,11233
1485,0,11232
1485,0,11231
1485,0,11230
1485,0,11239
1490,0,3831
1490,0,3831
1490,0,3831
1490,0,3831
1491,0,11257
1491,0,11257
1491,0,11257
1491,0,11257
1492,0,11260
1492,0,11260
1492,0,11260
1492,0,11260
1493,0,3831
1493,0,3831
1493,0,3831
1493,0,3831
1495,0,11263
1495,0,11266
1495,0,11265
1495,0,11264
1495,0,11263
1495,0,11266
1495,0,11265
1495,0,11264
1495,0,11263
1495,0,11266
1495,0,11265
1495,0,11264
1495,0,11263
1495,0,11266
1495,0,11265
1495,0,11264
1495,0,11263
1495,0,11266
1495,0,11265
1495,0,11264
1495,0,11263
1495,0,11266
1495,0,11265
1495,0,11264
1497,0,11271
1497,0,11271
1497,0,11271
1497,0,11271
1497,0,11271
1498,0,11275
1498,0,11275
1498,0,11275
1498,0,11275
1502,0,11287
1502,0,11286
1502,0,11287
1502,0,11286
1502,0,11287
1502,0,11286
1502,0,11287
1502,0,11286
1509,0,11330
1509,0,11329
1509,0,11328
1509,0,11327
1509,0,11326
1509,0,11330
1509,0,11329
1509,0,11328
1509,0,11327
1509,0,11326
1509,0,11330
1509,0,11329
1509,0,11328
1509,0,11327
1509,0,11326
1509,0,11330
1509,0,11329
1509,0,11328
1509,0,11327
1509,0,11326
1512,0,13414
1520,0,13147
1520,0,13147
1520,0,13147
1520,0,13147
1528,0,11439
1528,0,11439
1528,0,11439
1528,0,11439
1529,0,11439
1529,0,11439
1529,0,11439
1529,0,11439
1531,0,11452
1531,0,11452
1531,0,11452
1531,0,11452
1532,0,11452
1532,0,11452
1532,0,11452
1532,0,11452
1554,0,11514
1554,0,11513
1554,0,11512
1554,0,11514
1554,0,11513
1554,0,11512
1554,0,11514
1554,0,11513
1554,0,11512
1554,0,11514
1554,0,11513
1554,0,11512
1557,0,11524
1557,0,11523
1557,0,11522
1557,0,11524
1557,0,11523
1557,0,11522
1557,0,11524
1557,0,11523
1557,0,11522
1557,0,11524
1557,0,11523
1557,0,11522
1559,0,11533
1559,0,11536
1559,0,11535
1559,0,11538
1559,0,11532
1559,0,11531
1559,0,11533
1559,0,11536
1559,0,11535
1559,0,11538
1559,0,11532
1559,0,11531
1559,0,11533
1559,0,11536
1559,0,11535
1559,0,11538
1559,0,11532
1559,0,11531
1559,0,11533
1559,0,11536
1559,0,11535
1559,0,11538
1559,0,11532
1559,0,11531
1560,0,11561
1560,0,11561
1560,0,11561
1560,0,11561
1566,0,11571
1566,0,11571
1566,0,11571
1566,0,11571
1583,0,11651
1583,0,11650
1583,0,11649
1583,0,11646
1583,0,11651
1583,0,11650
1583,0,11649
1583,0,11646
1583,0,11651
1583,0,11650
1583,0,11649
1583,0,11646
1583,0,11651
1583,0,11650
1583,0,11649
1583,0,11646
1584,0,11649
1584,0,11651
1584,0,13660
1584,0,11649
1584,0,11651
1584,0,13660
1584,0,11649
1584,0,11651
1584,0,13660
1584,0,11649
1584,0,11651
1584,0,13660
1585,0,11657
1585,0,11657
1585,0,11657
1585,0,11657
1590,0,11695
1590,0,11695
1590,0,11695
1595,0,11738
1595,0,11735
1595,0,11740
1595,0,11739
1595,0,11741
1595,0,11736
1595,0,11738
1595,0,11735
1595,0,11740
1595,0,11739
1595,0,11741
1595,0,11736
1595,0,11738
1595,0,11735
1595,0,11740
1595,0,11739
1595,0,11741
1595,0,11736
1595,0,11738
1595,0,11735
1595,0,11740
1595,0,11739
1595,0,11741
1595,0,11736
1605,0,11760
1605,0,11760
1605,0,11760
1605,0,11760
1613,0,11822
1613,0,11822
1613,0,11822
1613,0,11822
1615,0,11773
1615,0,11773
1615,0,11773
1615,0,11773
1617,0,11822
1617,0,11822
1617,0,11822
1617,0,11822
1620,0,11773
1620,0,19669
1620,0,11836
1620,0,11835
1620,0,11773
1620,0,19669
1620,0,11836
1620,0,11835
1620,0,11773
1620,0,19669
1620,0,11836
1620,0,11835
1620,0,11773
1620,0,19669
1620,0,11836
1620,0,11835
1621,0,11854
1621,0,11854
1621,0,11854
1621,0,11854
